epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2097.71,0.9879,4.23065,0.01865,0.74926,0.66054,0.75805,0.43638,1.13919,4.477,0.03401,0.000664376,0.000664376,0.000664376
2,4126.57,1.22055,2.54078,0.02385,0.72922,0.72055,0.75123,0.41762,1.36234,2.21761,0.04227,0.00128712,0.00128712,0.00128712
3,6148.59,1.30966,1.86491,0.02565,0.70804,0.67321,0.7107,0.40899,1.31019,1.68354,0.04041,0.00186586,0.00186586,0.00186586
4,8168.44,1.32526,1.62994,0.02589,0.74181,0.68705,0.73266,0.39835,1.40931,1.50157,0.04441,0.001802,0.001802,0.001802
5,10187.8,1.3351,1.50881,0.02612,0.79816,0.72241,0.77821,0.46285,1.28279,1.33799,0.03915,0.001736,0.001736,0.001736
6,12216.9,1.3088,1.40525,0.02524,0.68374,0.66722,0.67523,0.38891,1.41669,1.44711,0.04442,0.00167,0.00167,0.00167
7,14241.5,1.29012,1.35224,0.025,0.79018,0.74312,0.8034,0.4622,1.33452,1.12627,0.03971,0.001604,0.001604,0.001604
8,16340.8,1.23709,1.2875,0.0238,0.83469,0.76589,0.81358,0.51463,1.23995,1.07683,0.03799,0.001538,0.001538,0.001538
9,18365,1.22254,1.24603,0.02352,0.74186,0.79933,0.81394,0.5156,1.18769,1.00007,0.03517,0.001472,0.001472,0.001472
10,20386.8,1.17901,1.21362,0.02286,0.84363,0.78491,0.85146,0.5598,1.16793,0.96161,0.03526,0.001406,0.001406,0.001406
11,22411,1.16019,1.13309,0.02217,0.83932,0.77258,0.84408,0.55513,1.13505,0.93707,0.03388,0.00134,0.00134,0.00134
12,24432.1,1.12686,1.09737,0.02129,0.8446,0.78094,0.86753,0.59414,1.10478,0.88167,0.03305,0.001274,0.001274,0.001274
13,26456.1,1.13166,1.06995,0.02161,0.82143,0.74415,0.82405,0.53973,1.128,1.02306,0.03483,0.001208,0.001208,0.001208
14,28475.7,1.10748,1.06115,0.02125,0.87591,0.76728,0.85929,0.59491,1.01705,0.87985,0.02973,0.001142,0.001142,0.001142
15,30500.1,1.09589,1.04834,0.02077,0.89437,0.80707,0.88327,0.62384,1.00517,0.8081,0.02892,0.001076,0.001076,0.001076
16,32521.5,1.07554,1.02314,0.02028,0.88992,0.80435,0.88854,0.6303,1.00735,0.75915,0.02925,0.00101,0.00101,0.00101
17,34540,1.04763,0.98671,0.01995,0.89303,0.83767,0.89891,0.64413,1.01469,0.76202,0.03063,0.000944,0.000944,0.000944
18,36556.7,1.01274,0.92594,0.01898,0.86402,0.81819,0.88585,0.64682,0.9511,0.74093,0.02772,0.000878,0.000878,0.000878
19,38571.5,0.9653,0.89685,0.01788,0.88142,0.84114,0.8984,0.65278,0.93937,0.73112,0.02731,0.000812,0.000812,0.000812
20,40589,0.98651,0.9018,0.01857,0.92361,0.82891,0.91158,0.66152,0.96737,0.67554,0.02852,0.000746,0.000746,0.000746
21,42590.1,0.89266,0.67745,0.02261,0.87564,0.84281,0.90734,0.66664,0.92663,0.71219,0.02697,0.00068,0.00068,0.00068
22,44595.9,0.85383,0.61877,0.02134,0.86363,0.81547,0.88379,0.64384,0.95557,0.73943,0.0283,0.000614,0.000614,0.000614
23,46603.7,0.83534,0.57202,0.02061,0.89702,0.84481,0.91033,0.6745,0.92234,0.66635,0.02627,0.000548,0.000548,0.000548
24,48624.2,0.8157,0.54275,0.02034,0.88966,0.86957,0.91762,0.69426,0.87996,0.63325,0.02519,0.000482,0.000482,0.000482
25,50630.2,0.76732,0.51913,0.01878,0.9082,0.8612,0.91973,0.69215,0.88677,0.6409,0.02527,0.000416,0.000416,0.000416
26,52629.5,0.75991,0.4895,0.01852,0.90567,0.86696,0.9193,0.69288,0.84903,0.64797,0.02406,0.00035,0.00035,0.00035
27,54634.9,0.73555,0.48352,0.01802,0.9079,0.84615,0.9196,0.70098,0.85205,0.62537,0.02402,0.000284,0.000284,0.000284
28,56630.5,0.72042,0.46493,0.0175,0.9059,0.8495,0.91661,0.69195,0.87268,0.63644,0.02479,0.000218,0.000218,0.000218
29,58618.7,0.69673,0.4466,0.01665,0.89918,0.86455,0.92016,0.70194,0.83268,0.62408,0.02357,0.000152,0.000152,0.000152
30,60607.5,0.69203,0.43429,0.01648,0.89471,0.86789,0.92224,0.70894,0.82493,0.61545,0.02316,8.6e-05,8.6e-05,8.6e-05
